# Frequency, Fit
1.44615e+01, 8.98266e-02
1.45385e+01, 1.68496e-01
1.46154e+01, 1.34015e-01
1.46923e+01, 1.08416e-01
1.47692e+01, 1.63185e-01
1.48462e+01, 8.69501e-02
1.49231e+01, 4.94244e-02
1.50000e+01, 2.52020e-02
1.50769e+01, 1.16860e-01
1.51538e+01, 3.83452e-03
1.52308e+01, 2.50662e-02
1.53077e+01, 2.66672e-02
1.53846e+01, 4.63859e-02
1.54615e+01, 1.11911e-01
1.55385e+01, 2.13043e-02
1.56154e+01, 4.47639e-02
1.56923e+01, 9.22390e-02
1.57692e+01, 6.39246e-02
1.58462e+01, 4.22882e-02
1.59231e+01, 1.00550e-01
1.60000e+01, 1.22033e-01
1.60769e+01, 8.40838e-02
1.61538e+01, 5.80467e-02
1.62308e+01, 1.10515e-01
1.63077e+01, 1.49424e-01
1.63846e+01, 1.48375e-01
1.64615e+01, 8.05301e-02
1.65385e+01, 1.49993e-01
1.66154e+01, 1.04357e-01
1.66923e+01, 5.22389e-02
1.67692e+01, 5.02140e-02
1.68462e+01, 9.26459e-02
1.69231e+01, 1.06918e-01
1.70000e+01, 1.05431e-01
1.70769e+01, 1.53569e-01
1.71538e+01, 7.17905e-02
1.72308e+01, 2.98230e-02
1.73077e+01, 1.06625e-01
1.73846e+01, 9.39096e-02
1.74615e+01, 4.67917e-02
1.75385e+01, 3.20092e-02
1.76154e+01, 5.66821e-02
1.76923e+01, 2.21737e-02
1.77692e+01, 5.01658e-02
1.78462e+01, 1.08453e-01
1.79231e+01, 3.32078e-02
1.80000e+01, 4.81227e-02
1.80769e+01, 3.74180e-02
1.81538e+01, 4.78496e-02
1.82308e+01, 6.74508e-02
1.83077e+01, 1.05813e-01
1.83846e+01, 2.08715e-02
1.84615e+01, 3.40065e-02
1.85385e+01, 4.82141e-02
1.86154e+01, 1.45670e-02
1.86923e+01, 1.08456e-02
1.87692e+01, 2.99512e-02
1.88462e+01, 2.85914e-02
1.89231e+01, 1.71862e-02
1.90000e+01, 3.94678e-02
1.90769e+01, 1.82620e-02
1.91538e+01, 1.80889e-02
1.92308e+01, 4.29243e-02
1.93077e+01, 4.07777e-02
1.93846e+01, 1.44948e-02
1.94615e+01, 4.40555e-02
1.95385e+01, 4.11821e-02
1.96154e+01, 4.81609e-02
1.96923e+01, 2.59708e-02
1.97692e+01, 2.16983e-02
1.98462e+01, 2.30328e-02
1.99231e+01, 4.24376e-02
2.00000e+01, 7.92634e-03
2.00769e+01, 2.39872e-02
2.01538e+01, 2.91592e-02
2.02308e+01, 2.21511e-02
2.03077e+01, 3.13445e-02
2.03846e+01, 5.70625e-02
2.04615e+01, 5.30085e-02
2.05385e+01, 2.04656e-02
2.06154e+01, 6.88990e-03
2.06923e+01, 1.40870e-02
2.07692e+01, 3.39537e-02
2.08462e+01, 2.03866e-02
2.09231e+01, 5.86500e-03
2.10000e+01, 1.75372e-02
2.10769e+01, 2.24047e-02
2.11538e+01, 5.01375e-02
2.12308e+01, 4.71494e-02
2.13077e+01, 3.71086e-02
2.13846e+01, 5.56186e-02
2.14615e+01, 5.84239e-02
2.15385e+01, 5.01066e-02
2.16154e+01, 5.06106e-02
2.16923e+01, 6.57057e-02
2.17692e+01, 5.59196e-02
2.18462e+01, 5.15473e-02
2.19231e+01, 4.25278e-02
2.20000e+01, 2.12164e-02
2.20769e+01, 3.82924e-02
2.21538e+01, 1.78767e-02
2.22308e+01, 2.83585e-02
2.23077e+01, 2.92893e-02
2.23846e+01, 4.43087e-02
2.24615e+01, 3.85366e-02
2.25385e+01, 1.80335e-02
2.26154e+01, 1.95965e-02
2.26923e+01, 3.77065e-02
2.27692e+01, 3.19408e-02
2.28462e+01, 4.70380e-02
2.29231e+01, 8.88878e-03
2.30000e+01, 9.71648e-03
2.30769e+01, 5.71621e-02
2.31538e+01, 1.91231e-02
2.32308e+01, 3.51337e-02
2.33077e+01, 4.33343e-02
2.33846e+01, 6.46262e-02
2.34615e+01, 8.82901e-03
2.35385e+01, 1.27129e-02
2.36154e+01, 4.32701e-02
2.36923e+01, 4.71931e-02
2.37692e+01, 3.31177e-02
2.38462e+01, 1.62016e-02
2.39231e+01, 2.97132e-02
2.40000e+01, 2.34306e-02
2.40769e+01, 1.79388e-03
2.41538e+01, 1.87324e-02
2.42308e+01, 1.65200e-02
2.43077e+01, 2.04659e-02
2.43846e+01, 2.40437e-02
2.44615e+01, 1.49865e-02
2.45385e+01, 1.05117e-01
2.46154e+01, 6.64339e-03
2.46923e+01, 6.07241e-02
2.47692e+01, 6.04428e-02
2.48462e+01, 2.83309e-02
2.49231e+01, 2.70878e-02
2.50000e+01, 4.46655e-02
2.50769e+01, 1.40009e-02
2.51538e+01, 2.86893e-02
2.52308e+01, 6.51646e-03
2.53077e+01, 9.43741e-03
2.53846e+01, 3.23843e-02
2.54615e+01, 1.94641e-02
2.55385e+01, 1.28381e-02
2.56154e+01, 1.43511e-02
2.56923e+01, 3.57533e-02
2.57692e+01, 1.48581e-02
2.58462e+01, 1.23201e-02
2.59231e+01, 3.38177e-02
2.60000e+01, 2.48334e-02
2.60769e+01, 7.98581e-03
2.61538e+01, 9.12280e-03
2.62308e+01, 1.59075e-02
2.63077e+01, 2.74287e-02
2.63846e+01, 3.65884e-02
2.64615e+01, 2.79042e-02
2.65385e+01, 1.87702e-02
2.66154e+01, 2.06889e-02
2.66923e+01, 1.67307e-02
2.67692e+01, 5.02018e-02
2.68462e+01, 2.49098e-02
2.69231e+01, 2.03791e-02
2.70000e+01, 3.35288e-02
2.70769e+01, 1.30578e-02
2.71538e+01, 2.79436e-02
2.72308e+01, 1.18042e-02
2.73077e+01, 1.23037e-02
2.73846e+01, 2.62146e-02
2.74615e+01, 5.75548e-03
2.75385e+01, 9.58795e-03
2.76154e+01, 1.75028e-02
2.76923e+01, 2.88262e-02
2.77692e+01, 1.47838e-02
2.78462e+01, 1.25974e-02
2.79231e+01, 4.97446e-02
2.80000e+01, 2.44222e-02
2.80769e+01, 2.58089e-02
2.81538e+01, 1.80776e-02
2.82308e+01, 2.60236e-02
2.83077e+01, 1.51919e-03
2.83846e+01, 7.22904e-03
2.84615e+01, 1.28099e-02
2.85385e+01, 8.12132e-03
2.86154e+01, 6.98933e-03
2.86923e+01, 2.08369e-02
2.87692e+01, 2.04250e-02
2.88462e+01, 2.14146e-02
2.89231e+01, 1.20111e-02
2.90000e+01, 6.96577e-03
2.90769e+01, 9.83576e-03
2.91538e+01, 1.60743e-02
2.92308e+01, 2.24046e-02
2.93077e+01, 2.66504e-02
2.93846e+01, 1.87012e-02
2.94615e+01, 1.58800e-02
2.95385e+01, 1.06469e-02
2.96154e+01, 6.55614e-03
2.96923e+01, 1.70921e-02
2.97692e+01, 1.12774e-02
2.98462e+01, 2.27286e-02
2.99231e+01, 1.80019e-02
3.00000e+01, 7.52817e-03
3.00769e+01, 1.44278e-02
3.01538e+01, 1.88256e-02
3.02308e+01, 8.26455e-03
3.03077e+01, 3.71826e-03
3.03846e+01, 1.98761e-02
3.04615e+01, 1.33490e-02
3.05385e+01, 1.44719e-02
3.06154e+01, 2.75006e-02
3.06923e+01, 2.80585e-02
3.07692e+01, 5.71412e-03
3.08462e+01, 7.75580e-03
3.09231e+01, 3.70370e-03
3.10000e+01, 6.92461e-03
3.10769e+01, 1.33489e-02
3.11538e+01, 2.19480e-02
3.12308e+01, 2.19469e-02
3.13077e+01, 2.93352e-02
3.13846e+01, 1.45288e-02
3.14615e+01, 9.00769e-03
3.15385e+01, 1.80176e-02
3.16154e+01, 1.35433e-02
3.16923e+01, 1.81503e-02
3.17692e+01, 6.00717e-03
3.18462e+01, 6.37588e-03
3.19231e+01, 1.00751e-02
3.20000e+01, 9.48646e-03
3.20769e+01, 1.67929e-02
3.21538e+01, 2.16006e-02
3.22308e+01, 1.28358e-02
3.23077e+01, 1.85704e-03
3.23846e+01, 1.45447e-02
3.24615e+01, 4.05455e-03
3.25385e+01, 1.82273e-02
3.26154e+01, 1.41504e-02
3.26923e+01, 1.44737e-02
3.27692e+01, 7.08480e-04
3.28462e+01, 1.16616e-02
3.29231e+01, 1.70394e-02
3.30000e+01, 1.18237e-02
3.30769e+01, 5.49815e-03
3.31538e+01, 1.31867e-02
3.32308e+01, 2.00917e-02
3.33077e+01, 1.92365e-02
