# Frequency, Fit
1.44615e+01, 8.61572e-02
1.45385e+01, 8.57161e-02
1.46154e+01, 8.52768e-02
1.46923e+01, 8.48394e-02
1.47692e+01, 8.44037e-02
1.48462e+01, 8.39700e-02
1.49231e+01, 8.35380e-02
1.50000e+01, 8.31079e-02
1.50769e+01, 8.26797e-02
1.51538e+01, 8.22533e-02
1.52308e+01, 8.18287e-02
1.53077e+01, 8.14060e-02
1.53846e+01, 8.09851e-02
1.54615e+01, 8.05661e-02
1.55385e+01, 8.01489e-02
1.56154e+01, 7.97336e-02
1.56923e+01, 7.93201e-02
1.57692e+01, 7.89085e-02
1.58462e+01, 7.84987e-02
1.59231e+01, 7.80907e-02
1.60000e+01, 7.76846e-02
1.60769e+01, 7.72804e-02
1.61538e+01, 7.68780e-02
1.62308e+01, 7.64774e-02
1.63077e+01, 7.60786e-02
1.63846e+01, 7.56817e-02
1.64615e+01, 7.52867e-02
1.65385e+01, 7.48934e-02
1.66154e+01, 7.45020e-02
1.66923e+01, 7.41124e-02
1.67692e+01, 7.37246e-02
1.68462e+01, 7.33386e-02
1.69231e+01, 7.29545e-02
1.70000e+01, 7.25721e-02
1.70769e+01, 7.21916e-02
1.71538e+01, 7.18128e-02
1.72308e+01, 7.14359e-02
1.73077e+01, 7.10607e-02
1.73846e+01, 7.06874e-02
1.74615e+01, 7.03158e-02
1.75385e+01, 6.99460e-02
1.76154e+01, 6.95780e-02
1.76923e+01, 6.92117e-02
1.77692e+01, 6.88473e-02
1.78462e+01, 6.84845e-02
1.79231e+01, 6.81236e-02
1.80000e+01, 6.77643e-02
1.80769e+01, 6.74069e-02
1.81538e+01, 6.70511e-02
1.82308e+01, 6.66971e-02
1.83077e+01, 6.63449e-02
1.83846e+01, 6.59943e-02
1.84615e+01, 6.56455e-02
1.85385e+01, 6.52984e-02
1.86154e+01, 6.49530e-02
1.86923e+01, 6.46093e-02
1.87692e+01, 6.42673e-02
1.88462e+01, 6.39270e-02
1.89231e+01, 6.35884e-02
1.90000e+01, 6.32514e-02
1.90769e+01, 6.29161e-02
1.91538e+01, 6.25825e-02
1.92308e+01, 6.22506e-02
1.93077e+01, 6.19203e-02
1.93846e+01, 6.15917e-02
1.94615e+01, 6.12647e-02
1.95385e+01, 6.09393e-02
1.96154e+01, 6.06156e-02
1.96923e+01, 6.02935e-02
1.97692e+01, 5.99730e-02
1.98462e+01, 5.96541e-02
1.99231e+01, 5.93369e-02
2.00000e+01, 5.90212e-02
2.00769e+01, 5.87072e-02
2.01538e+01, 5.83947e-02
2.02308e+01, 5.80838e-02
2.03077e+01, 5.77744e-02
2.03846e+01, 5.74667e-02
2.04615e+01, 5.71605e-02
2.05385e+01, 5.68559e-02
2.06154e+01, 5.65528e-02
2.06923e+01, 5.62512e-02
2.07692e+01, 5.59512e-02
2.08462e+01, 5.56527e-02
2.09231e+01, 5.53558e-02
2.10000e+01, 5.50604e-02
2.10769e+01, 5.47664e-02
2.11538e+01, 5.44740e-02
2.12308e+01, 5.41831e-02
2.13077e+01, 5.38937e-02
2.13846e+01, 5.36057e-02
2.14615e+01, 5.33192e-02
2.15385e+01, 5.30343e-02
2.16154e+01, 5.27507e-02
2.16923e+01, 5.24687e-02
2.17692e+01, 5.21880e-02
2.18462e+01, 5.19089e-02
2.19231e+01, 5.16311e-02
2.20000e+01, 5.13549e-02
2.20769e+01, 5.10800e-02
2.21538e+01, 5.08065e-02
2.22308e+01, 5.05345e-02
2.23077e+01, 5.02639e-02
2.23846e+01, 4.99947e-02
2.24615e+01, 4.97269e-02
2.25385e+01, 4.94604e-02
2.26154e+01, 4.91954e-02
2.26923e+01, 4.89317e-02
2.27692e+01, 4.86694e-02
2.28462e+01, 4.84084e-02
2.29231e+01, 4.81489e-02
2.30000e+01, 4.78906e-02
2.30769e+01, 4.76337e-02
2.31538e+01, 4.73782e-02
2.32308e+01, 4.71240e-02
2.33077e+01, 4.68711e-02
2.33846e+01, 4.66195e-02
2.34615e+01, 4.63693e-02
2.35385e+01, 4.61203e-02
2.36154e+01, 4.58727e-02
2.36923e+01, 4.56263e-02
2.37692e+01, 4.53813e-02
2.38462e+01, 4.51375e-02
2.39231e+01, 4.48950e-02
2.40000e+01, 4.46538e-02
2.40769e+01, 4.44138e-02
2.41538e+01, 4.41751e-02
2.42308e+01, 4.39376e-02
2.43077e+01, 4.37014e-02
2.43846e+01, 4.34665e-02
2.44615e+01, 4.32327e-02
2.45385e+01, 4.30002e-02
2.46154e+01, 4.27690e-02
2.46923e+01, 4.25389e-02
2.47692e+01, 4.23100e-02
